slot_id,week,section_id,course_id,faculty,day,start,end,room_number
W5_Tue_S3,5,DT_A,DT,Prof. Arindam Mukherjee,Tue,12:30,14:00,Room_1
W5_Tue_S3,5,EMPP_B,EMPP,Prof. Rajasekhar David,Tue,12:30,14:00,Room_2
W5_Tue_S3,5,IM_B,IM,Prof. Anand,Tue,12:30,14:00,Room_3
W5_Tue_S3,5,ODC_A,ODC,Prof. Viraj Varma,Tue,12:30,14:00,Room_4
W5_Tue_S4,5,DMPA_B,DMPA,Prof. Pradip Kumar Bala,Tue,14:45,16:15,Room_1
W5_Tue_S4,5,GMRM_A,GMRM,Prof. Piyali Ghosh,Tue,14:45,16:15,Room_2
W5_Tue_S4,5,IMKT_A,IMKT,Prof. Dipanjan Kumar Dey,Tue,14:45,16:15,Room_3
W5_Tue_S5,5,DMPA_A,DMPA,Prof. Pradip Kumar Bala,Tue,16:30,18:00,Room_1
W5_Tue_S5,5,EMPP_B,EMPP,Prof. Rajasekhar David,Tue,16:30,18:00,Room_2
W5_Tue_S5,5,IM_B,IM,Prof. Anand,Tue,16:30,18:00,Room_3
W5_Tue_S6,5,DT_A,DT,Prof. Arindam Mukherjee,Tue,18:15,19:45,Room_1
W5_Tue_S6,5,FIS_B,FIS,Prof. Prasenjit Chakrabarti,Tue,18:15,19:45,Room_2
W5_Wed_S1,5,CCS_A,CCS,Prof. Rohit Kumar,Wed,09:00,10:30,Room_1
W5_Wed_S1,5,DRV_B,DRV,Prof. Kamran Kuddus,Wed,09:00,10:30,Room_2
W5_Wed_S2,5,CCS_B,CCS,Prof. Rohit Kumar,Wed,10:45,12:15,Room_1
W5_Wed_S2,5,PBM_A,PBM,Prof. Aditya Shankar Mishra,Wed,10:45,12:15,Room_2
W5_Wed_S3,5,CCS_B,CCS,Prof. Rohit Kumar,Wed,12:30,14:00,Room_1
W5_Wed_S3,5,DMPA_A,DMPA,Prof. Pradip Kumar Bala,Wed,12:30,14:00,Room_2
W5_Wed_S3,5,ODC_A,ODC,Prof. Viraj Varma,Wed,12:30,14:00,Room_3
W5_Wed_S4,5,DMPA_A,DMPA,Prof. Pradip Kumar Bala,Wed,14:45,16:15,Room_1
W5_Wed_S4,5,EMPP_A,EMPP,Prof. Rajasekhar David,Wed,14:45,16:15,Room_2
W5_Wed_S4,5,PBM_B,PBM,Prof. Aditya Shankar Mishra,Wed,14:45,16:15,Room_3
W5_Wed_S5,5,SMTI_A,SMTI,Prof. Shiwangi Singh,Wed,16:30,18:00,Room_1
W5_Wed_S6,5,DRV_B,DRV,Prof. Kamran Kuddus,Wed,18:15,19:45,Room_1
W5_Wed_S6,5,FIS_A,FIS,Prof. Prasenjit Chakrabarti,Wed,18:15,19:45,Room_2
W5_Wed_S6,5,REE_A,REE,Prof. Rakhi Singh,Wed,18:15,19:45,Room_3
W6_Fri_S1,6,CCS_B,CCS,Prof. Rohit Kumar,Fri,09:00,10:30,Room_1
W6_Fri_S1,6,PM_A,PM,Prof. Vijaya Dixit,Fri,09:00,10:30,Room_2
W6_Fri_S2,6,CCS_B,CCS,Prof. Rohit Kumar,Fri,10:45,12:15,Room_1
W6_Fri_S2,6,DMPA_A,DMPA,Prof. Pradip Kumar Bala,Fri,10:45,12:15,Room_2
W6_Fri_S2,6,ODC_A,ODC,Prof. Viraj Varma,Fri,10:45,12:15,Room_3
W6_Fri_S3,6,PM_B,PM,Prof. Vijaya Dixit,Fri,12:30,14:00,Room_1
W6_Fri_S3,6,SDM_A,SDM,Prof. Shibashish Chakraborty,Fri,12:30,14:00,Room_2
W6_Fri_S4,6,FIS_B,FIS,Prof. Prasenjit Chakrabarti,Fri,14:45,16:15,Room_1
W6_Fri_S4,6,ODC_A,ODC,Prof. Viraj Varma,Fri,14:45,16:15,Room_2
W6_Fri_S4,6,SCM_A,SCM,Prof. Pritee Ray,Fri,14:45,16:15,Room_3
W6_Fri_S5,6,BV_A,BV,Prof. Anand,Fri,16:30,18:00,Room_1
W6_Fri_S5,6,IMC_B,IMC,Prof. T. Sai Vijay,Fri,16:30,18:00,Room_2
W6_Fri_S6,6,DMPA_B,DMPA,Prof. Pradip Kumar Bala,Fri,18:15,19:45,Room_1
W6_Fri_S6,6,FIS_A,FIS,Prof. Prasenjit Chakrabarti,Fri,18:15,19:45,Room_2
W6_Fri_S6,6,REE_A,REE,Prof. Rakhi Singh,Fri,18:15,19:45,Room_3
W6_Mon_S1,6,DSMM_A,DSMM,Prof. Subhro Sarkar,Mon,09:00,10:30,Room_1
W6_Mon_S1,6,EMPP_B,EMPP,Prof. Rajasekhar David,Mon,09:00,10:30,Room_2
W6_Mon_S1,6,IM_B,IM,Prof. Anand,Mon,09:00,10:30,Room_3
W6_Mon_S2,6,BMS_A,BMS,Prof. Santosh Kumar Prusty,Mon,10:45,12:15,Room_1
W6_Mon_S3,6,CCS_A,CCS,Prof. Rohit Kumar,Mon,12:30,14:00,Room_1
W6_Mon_S3,6,CRM_B,CRM,Prof. Ankur Jha,Mon,12:30,14:00,Room_2
W6_Mon_S4,6,DSMM_A,DSMM,Prof. Subhro Sarkar,Mon,14:45,16:15,Room_1
W6_Mon_S4,6,IMKT_B,IMKT,Prof. Dipanjan Kumar Dey,Mon,14:45,16:15,Room_2
W6_Mon_S5,6,CCS_A,CCS,Prof. Rohit Kumar,Mon,16:30,18:00,Room_1
W6_Mon_S5,6,PM_B,PM,Prof. Vijaya Dixit,Mon,16:30,18:00,Room_2
W6_Mon_S6,6,BV_A,BV,Prof. Anand,Mon,18:15,19:45,Room_1
